pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2021_10_23_ep_53.ply,res/point_clouds/dense_2021_10_23_ep_53.ply,-1115.0989,355.2236,1470.3225,3083.3999,78.5,7.6
res/point_clouds/dense_2021_10_24_ep_54.ply,res/point_clouds/dense_2021_10_24_ep_54.ply,131.6626,381.5192,249.8566,3445.7999,90.6,7.7
res/point_clouds/dense_2021_10_25_ep_55.ply,res/point_clouds/dense_2021_10_25_ep_55.ply,-326.3389,199.6855,526.0244,3383.0799,88.9,7.7
res/point_clouds/dense_2021_10_27_ep_56.ply,res/point_clouds/dense_2021_10_27_ep_56.ply,245.4294,1816.6857,1571.2563,2696.0399,62.1,7.3
res/point_clouds/dense_2021_10_28_ep_57.ply,res/point_clouds/dense_2021_10_28_ep_57.ply,-997.2330,1356.5036,2353.7367,2950.3599,71.9,7.6
res/point_clouds/dense_2021_10_29_ep_58.ply,res/point_clouds/dense_2021_10_29_ep_58.ply,-560.6365,1501.7855,2062.4220,2953.3199,72.9,7.6
res/point_clouds/dense_2022_05_01.ply,res/point_clouds/dense_2022_05_01.ply,-935.5030,269.9794,1205.4824,2744.8799,70.2,7.4
res/point_clouds/dense_2022_05_02.ply,res/point_clouds/dense_2022_05_02.ply,-1000.1987,257.9624,1258.1611,3088.5599,83.7,7.6
res/point_clouds/dense_2022_05_04.ply,res/point_clouds/dense_2022_05_04.ply,-1094.4623,274.5428,1369.0052,2691.4799,74.4,7.4
res/point_clouds/dense_2022_05_07.ply,res/point_clouds/dense_2022_05_07.ply,-696.3086,162.6485,858.9571,2811.1999,78.0,7.5
res/point_clouds/dense_2022_05_09.ply,res/point_clouds/dense_2022_05_09.ply,-16044.1744,34.1722,16078.3466,1843.0800,37.2,7.5
res/point_clouds/dense_2022_05_10.ply,res/point_clouds/dense_2022_05_10.ply,-13634.7995,26.3022,13661.1017,1528.2800,30.4,7.3
res/point_clouds/dense_2022_05_11.ply,res/point_clouds/dense_2022_05_11.ply,-14689.3294,33.0237,14722.3532,1668.2400,33.7,7.4
res/point_clouds/dense_2022_07_28.ply,res/point_clouds/dense_2022_07_28.ply,-862.6521,146.7670,1009.4191,3087.0399,85.0,7.5
res/point_clouds/dense_2022_07_29.ply,res/point_clouds/dense_2022_07_29.ply,-861.3268,116.4155,977.7424,2955.6399,79.1,7.5
res/point_clouds/dense_2022_07_30.ply,res/point_clouds/dense_2022_07_30.ply,-1221.5817,111.9910,1333.5728,3199.4799,86.3,7.6
res/point_clouds/dense_2022_07_31.ply,res/point_clouds/dense_2022_07_31.ply,-1222.9739,76.3628,1299.3367,2916.9599,79.6,7.4
res/point_clouds/dense_2022_08_01.ply,res/point_clouds/dense_2022_08_01.ply,-1248.1479,75.8384,1323.9863,2880.3199,77.3,7.5
res/point_clouds/dense_2022_08_02.ply,res/point_clouds/dense_2022_08_02.ply,-1419.0497,60.9683,1480.0180,3181.3999,85.4,7.6
res/point_clouds/dense_2022_08_03.ply,res/point_clouds/dense_2022_08_03.ply,-1194.0773,107.9736,1302.0509,2949.5599,79.9,7.4
