pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2022_07_29.ply,res/point_clouds/dense_2022_08_01.ply,-1024.2043,7.3809,1031.5852,2829.9599,78.2,7.5
res/point_clouds/dense_2022_07_30.ply,res/point_clouds/dense_2022_08_02.ply,-1227.2920,11.6039,1238.8959,3033.9599,87.0,7.6
res/point_clouds/dense_2022_07_31.ply,res/point_clouds/dense_2022_08_03.ply,-1275.2906,2.1902,1277.4807,2719.7999,82.2,7.5
res/point_clouds/dense_2022_08_01.ply,res/point_clouds/dense_2022_08_04.ply,-1338.0264,2.7288,1340.7552,2802.4799,78.0,7.5
res/point_clouds/dense_2022_08_02.ply,res/point_clouds/dense_2022_08_05.ply,-1519.6558,2.2887,1521.9445,3074.9199,86.2,7.6
res/point_clouds/dense_2022_08_03.ply,res/point_clouds/dense_2022_08_06.ply,-1237.0877,6.4621,1243.5498,2839.1199,83.3,7.5
res/point_clouds/dense_2022_08_04.ply,res/point_clouds/dense_2022_08_07.ply,-1592.7980,3.6671,1596.4652,3295.7199,88.9,7.7
res/point_clouds/dense_2022_08_05.ply,res/point_clouds/dense_2022_08_08.ply,-1390.0736,2.6157,1392.6893,3074.6799,86.4,7.7
res/point_clouds/dense_2022_08_06.ply,res/point_clouds/dense_2022_08_09.ply,-1263.7446,1.0635,1264.8081,2788.1599,82.9,7.5
res/point_clouds/dense_2022_08_07.ply,res/point_clouds/dense_2022_08_10.ply,-1199.5412,8.3221,1207.8633,3208.8799,87.8,7.7
res/point_clouds/dense_2022_08_08.ply,res/point_clouds/dense_2022_08_11.ply,-1326.6284,1.4610,1328.0894,2958.0799,85.0,7.6
res/point_clouds/dense_2022_08_09.ply,res/point_clouds/dense_2022_08_12.ply,-1333.2051,1.9658,1335.1710,2892.1999,82.8,7.5
res/point_clouds/dense_2022_08_10.ply,res/point_clouds/dense_2022_08_13.ply,-1181.9907,1.6050,1183.5957,2861.6399,82.3,7.6
res/point_clouds/dense_2022_08_11.ply,res/point_clouds/dense_2022_08_14.ply,-1109.1817,4.2634,1113.4452,3153.7199,84.5,7.6
res/point_clouds/dense_2022_08_12.ply,res/point_clouds/dense_2022_08_15.ply,-1040.6435,3.0085,1043.6520,3245.3999,87.5,7.7
res/point_clouds/dense_2022_08_13.ply,res/point_clouds/dense_2022_08_16.ply,-929.5574,4.0015,933.5589,2838.4399,84.7,7.5
res/point_clouds/dense_2022_08_14.ply,res/point_clouds/dense_2022_08_18.ply,-1538.5823,4.0924,1542.6747,3458.5199,90.2,7.8
res/point_clouds/dense_2022_08_15.ply,res/point_clouds/dense_2022_08_19.ply,-1035.6564,10.7004,1046.3567,3213.9999,87.3,7.7
res/point_clouds/dense_2022_08_16.ply,res/point_clouds/dense_2022_08_20.ply,-994.9557,4.3411,999.2968,2803.9199,83.4,7.5
res/point_clouds/dense_2022_08_18.ply,res/point_clouds/dense_2022_08_21.ply,-797.2195,8.6966,805.9161,2927.5999,78.4,7.6
res/point_clouds/dense_2022_08_19.ply,res/point_clouds/dense_2022_08_22.ply,-1125.2884,2.1522,1127.4406,2966.8799,86.5,7.5
res/point_clouds/dense_2022_08_20.ply,res/point_clouds/dense_2022_08_23.ply,-954.5561,2.5874,957.1434,2525.9199,78.3,7.4
res/point_clouds/dense_2022_08_21.ply,res/point_clouds/dense_2022_08_24.ply,-1033.1625,1.2672,1034.4297,2689.4399,78.3,7.4
res/point_clouds/dense_2022_08_22.ply,res/point_clouds/dense_2022_08_25.ply,-1123.1810,0.5035,1123.6845,2710.3599,80.3,7.4
res/point_clouds/dense_2022_08_23.ply,res/point_clouds/dense_2022_08_27.ply,-1215.6090,13.8907,1229.4997,2576.3199,79.4,7.5
res/point_clouds/dense_2022_08_24.ply,res/point_clouds/dense_2022_08_28.ply,-1343.0511,27.4045,1370.4556,2678.1599,75.3,7.4
res/point_clouds/dense_2022_08_25.ply,res/point_clouds/dense_2022_08_29.ply,-1291.0998,57.4413,1348.5411,2676.1599,77.9,7.5
res/point_clouds/dense_2022_08_27.ply,res/point_clouds/dense_2022_08_30.ply,-1348.1922,49.5038,1397.6960,3005.3199,77.7,7.7
res/point_clouds/dense_2022_08_28.ply,res/point_clouds/dense_2022_08_31.ply,-948.9706,71.6504,1020.6210,2820.3999,78.8,7.5
res/point_clouds/dense_2022_08_29.ply,res/point_clouds/dense_2022_09_01.ply,-839.9711,74.8258,914.7969,2793.4399,81.0,7.5
res/point_clouds/dense_2022_08_30.ply,res/point_clouds/dense_2022_09_02.ply,-1139.5995,42.6874,1182.2868,3304.7999,85.1,7.8
res/point_clouds/dense_2022_08_31.ply,res/point_clouds/dense_2022_09_04.ply,-1488.9593,15.0732,1504.0325,3160.7199,84.4,7.6
res/point_clouds/dense_2022_09_01.ply,res/point_clouds/dense_2022_09_05.ply,-1265.5176,6.5234,1272.0410,2965.4799,84.1,7.6
res/point_clouds/dense_2022_09_02.ply,res/point_clouds/dense_2022_09_06.ply,-1065.5851,8.2049,1073.7901,3116.0799,88.4,7.7
res/point_clouds/dense_2022_09_04.ply,res/point_clouds/dense_2022_09_07.ply,-773.2113,13.2010,786.4124,3226.4799,86.4,7.7
res/point_clouds/dense_2022_09_05.ply,res/point_clouds/dense_2022_09_08.ply,-923.6429,5.9282,929.5712,3187.3599,86.7,7.7
res/point_clouds/dense_2022_09_06.ply,res/point_clouds/dense_2022_09_09.ply,-698.7033,9.4096,708.1129,2798.1199,79.6,7.5
res/point_clouds/dense_2022_09_07.ply,res/point_clouds/dense_2022_09_10.ply,-606.5440,23.5571,630.1011,2764.6399,76.0,7.5
res/point_clouds/dense_2022_09_08.ply,res/point_clouds/dense_2022_09_11.ply,-724.7317,9.7004,734.4321,2952.7999,80.0,7.5
res/point_clouds/dense_2022_09_09.ply,res/point_clouds/dense_2022_09_12.ply,-595.2205,7.8093,603.0298,2566.1199,74.8,7.3
res/point_clouds/dense_2022_09_10.ply,res/point_clouds/dense_2022_09_13.ply,-839.6035,3.1256,842.7291,2872.8399,81.5,7.5
res/point_clouds/dense_2022_09_11.ply,res/point_clouds/dense_2022_09_15.ply,-1075.6506,10.2921,1085.9426,2896.9199,81.5,7.5
res/point_clouds/dense_2022_09_12.ply,res/point_clouds/dense_2022_09_16.ply,-1051.4843,13.1901,1064.6744,2664.1599,77.5,7.4
res/point_clouds/dense_2022_09_13.ply,res/point_clouds/dense_2022_09_17.ply,-905.3814,16.9793,922.3607,2940.5999,81.1,7.5
